"First Name","Last Name","Gender","Age","Year of Birth","Language","Website","Quelle","Akteur","Kürzel","Akteur Typ","Party","Fraction","National","Regional","Canton","District","Municipality","Zip","Chamber","In Office since","End of Office","Active","Candidate Nationalrat","Candidate Staenderat","Candidate Kantonsrat","Candidate Regierungsrat","Incumbent","Twitter Name","User_id","Status_id","Created_at"
"Daniel","Brélaz","m",NA,1950-01-04,NA,NA,NA,"Parliamentarian","MP","Person","GRÜNE PARTEI DER SCHWEIZ","GRÜNE FRAKTION",1,0,"Waadt",NA,"Lausanne",1000,"Nationalrat",2015-11-30,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hansjörg","Brunner","m",NA,1966-11-23,NA,"www.hansjoerg-brunner.ch",NA,"Parliamentarian","MP","Person","FDP.DIE LIBERALEN","FDP-LIBERALE FRAKTION",1,0,"Thurgau",NA,"Sirnach",8370,"Nationalrat",2017-11-27,NA,1,NA,NA,NA,NA,NA,"hjbrunner",NA,NA,NA
"Roland","Büchel","m",NA,1965-10-08,NA,"www.rolandbuechel.ch",NA,"Parliamentarian","MP","Person","SCHWEIZERISCHE VOLKSPARTEI","FRAKTION DER SCHWEIZERISCHEN VOLKSPARTEI",1,0,"St. Gallen",NA,"Oberriet",9463,"Nationalrat",2010-03-01,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michaël","Buffat","m",NA,1979-09-27,NA,NA,NA,"Parliamentarian","MP","Person","SCHWEIZERISCHE VOLKSPARTEI","FRAKTION DER SCHWEIZERISCHEN VOLKSPARTEI",1,0,"Waadt",NA,"Vuarrens",1418,"Nationalrat",2015-11-30,NA,1,NA,NA,NA,NA,NA,"michael_buffat","724584142344695808","733295826966065152",2016-05-23T22:22:22Z
"Manfred","Bühler","m",NA,1979-04-10,NA,"www.manfredbuehler.ch",NA,"Parliamentarian","MP","Person","SCHWEIZERISCHE VOLKSPARTEI","FRAKTION DER SCHWEIZERISCHEN VOLKSPARTEI",1,0,"Bern",NA,"Cortébert",2607,"Nationalrat",2015-11-30,NA,1,NA,NA,NA,NA,NA,"Buehler4Bern","2172700965","1108365799977336832",2019-03-20T12:52:53Z
"Christine","Bulliard-Marbach","f",NA,1959-10-13,NA,"www.christine-bulliard.ch",NA,"Parliamentarian","MP","Person","CHRISTLICHDEMOKRATISCHE VOLKSPARTEI DER SCHWEIZ","CVP-FRAKTION",1,0,"Freiburg",NA,"Ueberstorf",3182,"Nationalrat",2011-12-05,NA,1,NA,NA,NA,NA,NA,"BulliardMarbach","1360306513","1106471495767855104",2019-03-15T07:25:36Z
"Thomas","Burgherr","m",NA,1962-08-01,NA,"www.thomasburgherr.ch",NA,"Parliamentarian","MP","Person","SCHWEIZERISCHE VOLKSPARTEI","FRAKTION DER SCHWEIZERISCHEN VOLKSPARTEI",1,0,"Aargau",NA,"Wiliberg",5058,"Nationalrat",2015-11-30,NA,1,NA,NA,NA,NA,NA,"ThomasBurgherr","353662120","578294636919291905",2015-03-22T22:22:22Z
"Thierry","Burkart","m",NA,1975-08-21,NA,"www.thierry-burkart.ch",NA,"Parliamentarian","MP","Person","FDP.DIE LIBERALEN","FDP-LIBERALE FRAKTION",1,0,"Aargau",NA,"Baden",5400,"Nationalrat",2015-11-30,NA,1,NA,NA,NA,NA,NA,"ThierryBurkart","3240586961","1109513399627591681",2019-03-23T16:53:02Z
"Duri","Campell","m",NA,1963-04-05,NA,"www.duri-campell.ch",NA,"Parliamentarian","MP","Person","BÜRGERLICH-DEMOKRATISCHE PARTEI SCHWEIZ","FRAKTION BD",1,0,"Graubünden",NA,"Cinuos-chel",7526,"Nationalrat",2015-11-30,NA,1,NA,NA,NA,NA,NA,"duri_campell","968401772732735488","1005004190127742976",2018-10-10T10:10:10Z
"Martin","Candinas","m",NA,1980-08-20,NA,"www.martincandinas.ch",NA,"Parliamentarian","MP","Person","CHRISTLICHDEMOKRATISCHE VOLKSPARTEI DER SCHWEIZ","CVP-FRAKTION",1,0,"Graubünden",NA,"Chur",7000,"Nationalrat",2011-12-05,NA,1,NA,NA,NA,NA,NA,"martin_candinas","706788594954981376","1109928624856145920",2019-03-24T20:23:00Z
